Player,
Al Horford,BOS
Al Jefferson,IND
Alex Len,PHX
Amir Johnson,PHI
Andre Drummond,DET
Andrew Bogut,LAL
Ante Zizic,CLE
Anthony Davis,NOP
Aron Baynes,BOS
Bam Adebayo,MIA
Ben Simmons,PHI
Bismack Biyombo,ORL
Boban Marjanovic,DET
Bobby Portis,CHI
Brook Lopez,LAL
Channing Frye,CLE
Clint Capela,HOU
Cristiano Felicio,CHI
Dakari Johnson,OKC
Damian Jones,NAN
Daniel Theis,BOS
Dante Cunningham,BKN
DeAndre Jordan,LAC
DeMarcus Cousins,NOP
Derrick Favors,UTA
Dewayne Dedmon,ATL
Deyonta Davis,MEM
Domantas Sabonis,IND
Dragan Bender,PHX
Draymond Green,GSW
Dwight Howard,CHA
Dwight Powell,DAL
Ekpe Udoh,UTA
Emeka Okafor,NOP
Enes Kanter,NYK
Eric Moreland,DET
E'Twaun Moore,NOP
Greg Monroe,PHX
Harrison Barnes,DAL
Hassan Whiteside,MIA
Ivan Rabb,MEM
JaKarr Sampson,IND
JaMychal Green,MEM
Jarrett Allen,BKN
JaVale McGee,GSW
Jeff Green,CLE
Joel Embiid,PHI
Joffrey Lauvergne,SAS
John Collins,ATL
John Henson,MIL
Johnathan Motley,DAL
Jonas Valanciunas,TOR
Jordan Bell,GSW
Jordan Mickey,MIA
Julius Randle,LAL
Jusuf Nurkic,POR
Karl-Anthony Towns,MIN
Kelly Olynyk,MIA
Kenneth Faried,DEN
Kevin Durant,GSW
Kevin Love,CLE
Kevon Looney,GSW
Kosta Koufos,SAC
Kristaps Porzingis,NYK
Kyle O'Quinn,NYK
LaMarcus Aldridge,SAS
Larry Nance Jr.,CLE
LeBron James,CLE
Lucas Nogueira,TOR
Luke Kornet,NYK
Marc Gasol,MEM
Marcin Gortat,WAS
Marquese Chriss,PHX
Mason Plumlee,DEN
Maxi Kleber,DAL
Meyers Leonard,POR
Miles Plumlee,ATL
Myles Turner,IND
Nene,HOU
Nerlens Noel,DAL
Nikola Jokic,DEN
Nikola Vucevic,ORL
Otto Porter Jr.,WAS
Pau Gasol,SAS
Paul Millsap,DEN
Richaun Holmes,PHI
Robin Lopez,CHI
Rondae Hollis-Jefferson,BKN
Rudy Gobert,UTA
Ryan Anderson,HOU
Salah Mejri,DAL
Serge Ibaka,TOR
Skal Labissiere,SAC
Steven Adams,OKC
Tarik Black,HOU
Thon Maker,MIL
Timofey Mozgov,BKN
Trevor Booker,BKN
Trey Lyles,DEN
Tristan Thompson,CLE
Tyler Cavanaugh,ATL
Tyler Zeller,BKN
Tyson Chandler,PHX
Willie Cauley-Stein,SAC
Willie Reed,LAC
Willy Hernangomez,CHA
Zach Collins,POR
Zach Randolph,SAC
Zaza Pachulia,GSW